Model,Family,Platform,Launch_Date,CPU_Core,Threads,Base_Clock_GHz,Boost_Clock_GHz,L1_Cache,L2_Cache,L3_Cache,Unlocked_for_Overclocking,Chip_lithography,CPU_Socket,PCI_Express_Version,Default_TDP,Max._Operating_Temperature_(Tjmax),System_Memory_Type,Graphics_Model
FX-8300,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,3.3GHz,Up to 4.2GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,95W,70.50°C,DDR3,Discrete Graphics Card Required
FX-8150,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,3.6GHz,Up to 4.2GHz,384KB,8MB,8MB,Yes,32nm,AM3+,,125W,61°C,DDR3,Discrete Graphics Card Required
A8-7410,AMD A-Series Processors,Laptop,,4.0,4.0,2.2GHz,Up to 2.5GHz,,2MB,,No,28nm,FP4,,15W,90°C,DDR3L,AMD Radeon R5 Graphics
FX-8120,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,3.1GHz,Up to 4.0GHz,384KB,8MB,8MB,Yes,32nm,AM3+,,125W,61°C,Not Listed,Discrete Graphics Card Required
FX-6350,AMD FX-Series Processors,Boxed Processor,,6.0,6.0,3.9GHz,Up to 4.2GHz,288KB,6MB,8MB,Yes,32nm SOI,AM3+,,125W,61°C,DDR3,Discrete Graphics Card Required
A8-7200P,AMD A-Series Processors,Laptop,,4.0,4.0,2.4GHz,Up to 3.3GHz,,4MB,,No,28nm,FP3,,100W,,DDR3,AMD Radeon R5 Graphics
FX-6350,AMD FX-Series Processors,Boxed Processor,,6.0,6.0,3.9GHz,Up to 4.2GHz,288KB,6MB,8MB,Yes,32nm SOI,AM3+,,125W,61°C,DDR3,Discrete Graphics Card Required
A8-7100,AMD A-Series Processors,Laptop,,4.0,4.0,1.8GHz,Up to 3.0GHz,,4MB,,No,28nm,FP3,,20W,,DDR3,AMD Radeon R5 Graphics
FX-6300,AMD FX-Series Processors,Boxed Processor,,6.0,6.0,3.5GHz,Up to 3.8GHz,288KB,6MB,8MB,No,32nm SOI,AM3+,PCIe 3.0,95W,70.50°C,DDR3,Discrete Graphics Card Required
A8-6410,AMD A-Series Processors,Laptop,,4.0,4.0,2.0GHz,Up to 2.4GHz,,2MB,,No,28nm,FT3b,,15W,90°C,DDR3L,AMD Radeon R5 Graphics
FX-6200,AMD FX-Series Processors,Boxed Processor,,6.0,6.0,3.8GHz,Up to 4.1GHz,288KB,6MB,8MB,Yes,32nm SOI,AM3+,,125W,61.10°C,DDR3,Discrete Graphics Card Required
FX-6100,AMD FX-Series Processors,Boxed Processor,,6.0,6.0,3.3GHz,Up to 3.9GHz,288KB,6MB,8MB,Yes,32nm SOI,AM3+,,95W,70°C,DDR3,Discrete Graphics Card Required
FX-4350,AMD FX-Series Processors,Boxed Processor,,4.0,4.0,4.2GHz,Up to 4.3GHz,192KB,4MB,8MB,Yes,32nm SOI,AM3+,,125W,61.10°C,DDR3,Discrete Graphics Card Required
FX-4320,AMD FX-Series Processors,Boxed Processor,,4.0,4.0,4.0GHz,Up to 4.1GHz,192KB,4MB,4MB,No,32nm SOI,AM3+,Not Listed,95W,70.50°C,DDR3,Discrete Graphics Card Required
FX-4300,AMD FX-Series Processors,Boxed Processor,,4.0,4.0,3.8GHz,Up to 4.0GHz,192KB,4MB,4MB,Yes,32nm SOI,AM3+,,95W,70.50°C,DDR3,Discrete Graphics Card Required
FX-4170,AMD FX-Series Processors,Boxed Processor,,4.0,4.0,4.2GHz,Up to 4.3GHz,192KB,4MB,8MB,No,32nm,AM3+,,125W,61.10°C,Not Listed,Discrete Graphics Card Required
FX-4130,AMD FX-Series Processors,Boxed Processor,,4.0,4.0,3.8GHz,Up to 3.9GHz,192KB,4MB,4MB,Yes,32nm SOI,AM3,,125W,70°C,DDR3,Discrete Graphics Card Required
FX-4100,AMD FX-Series Processors,Boxed Processor,,4.0,4.0,3.6GHz,Up to 3.8GHz,192KB,4MB,8MB,Yes,32nm SOI,AM3+,,95W,70.50°C,DDR3,Discrete Graphics Card Required
1075T,AMD Phenom,Boxed Processor,,6.0,6.0,3.5GHz,,768KB,3MB,6MB,No,,AM3,,95W,,DDR3,Discrete Graphics Card Required
1045T,AMD Phenom,Boxed Processor,,,,2.7GHz,Up to 3.2GHz,768KB,3MB,6MB,No,,AM3,,95W,71°C,Not Listed,Discrete Graphics Card Required
980,AMD Phenom,Boxed Processor,,4.0,4.0,3.7GHz,,512KB,2MB,6MB,Yes,,AM3,,125W,,DDR3,Discrete Graphics Card Required
A6-8500P,AMD A-Series Processors,Laptop,,2.0,2.0,1.6GHz,Up to 3.0GHz,,1MB,,No,28nm,FP4,,15W,90°C,Not Listed,AMD Radeon R5 Graphics
A6-7310,AMD A-Series Processors,Laptop,,4.0,4.0,2.0GHz,Up to 2.4GHz,,2MB,,No,28nm,FP4,,15W,90°C,DDR3L,AMD Radeon R4 Graphics
A6-7310,AMD A-Series Processors,Laptop,,4.0,4.0,2.0GHz,Up to 2.4GHz,,2MB,,No,28nm,FT3b,,15W,90°C,DDR3L,AMD Radeon R4 Graphics
975,AMD Phenom,Boxed Processor,,4.0,4.0,3.6GHz,,512KB,2MB,6MB,Yes,45nm SOI,AM3,,125W,62°C,DDR3,Discrete Graphics Card Required
965,AMD Phenom,Boxed Processor,,4.0,4.0,3.4GHz,,,2MB,,Yes,,AM3,,80W,,Not Listed,Discrete Graphics Card Required
A6-7000,AMD A-Series Processors,Laptop,,2.0,2.0,2.2GHz,Up to 3.0GHz,,1MB,,No,28nm,FT3,,17W,,Not Listed,AMD Radeon R4 Graphics
A6-6310,AMD A-Series Processors,Laptop,,4.0,4.0,2.4GHz,,,2MB,,No,28nm,FT3b,,15W,,DDR3L,AMD Radeon R4 Graphics
960T,AMD Phenom,Boxed Processor,,4.0,4.0,3.0GHz,Up to 3.4GHz,512KB,512KB,,Yes,,AM3,,95W,71°C,Not Listed,Discrete Graphics Card Required
850,AMD Phenom,Boxed Processor,,4.0,4.0,3.3GHz,,512KB,2MB,,No,,AM3,,95W,,Not Listed,Discrete Graphics Card Required
840,AMD Phenom,Boxed Processor,,4.0,4.0,3.2GHz,,512KB,2MB,,No,,AM3,,95W,71°C,DDR3,Discrete Graphics Card Required
A6-5350M,AMD A-Series Processors,Laptop,,2.0,2.0,2.9GHz,Up to 3.5GHz,,2MB,,No,32nm,FS1r2,,35W,,DDR3,AMD Radeon HD 8450G
570,AMD Phenom,Boxed Processor,,2.0,2.0,4.0GHz,,,,6MB,Yes,,AM3,,80W,,DDR3,Discrete Graphics Card Required
A6-5200M,AMD A-Series Processors,Laptop,,4.0,4.0,2.0GHz,,,2MB,,No,28nm,FT3,,25W,,Not Listed,AMD Radeon HD 8400
565,AMD Phenom,Boxed Processor,,2.0,2.0,3.4GHz,,0KB,1MB,,Yes,45nm SOI,AM3,,80W,,Not Listed,Discrete Graphics Card Required
555,AMD Phenom,Boxed Processor,,2.0,2.0,3.2GHz,,,1MB,,Yes,,AM3,,80W,,Not Listed,Discrete Graphics Card Required
565,AMD Phenom,Boxed Processor,,2.0,2.0,3.4GHz,,256KB,1MB,6MB,Yes,,AM3,,80W,70°C,DDR3,Discrete Graphics Card Required
X940,AMD Phenom,Laptop,,4.0,4.0,2.4GHz,,512KB,2MB,,Yes,,S1,,45W,100°C,DDR3,Discrete Graphics Card Required
N970,AMD Phenom,Laptop,,4.0,4.0,2.2GHz,,512KB,2MB,,No,,S1,,35W,100°C,DDR3,Discrete Graphics Card Required
N960,AMD Phenom,Laptop,,4.0,4.0,1.8GHz,,512KB,2MB,,No,,S1,,35W,100°C,DDR3,Discrete Graphics Card Required
N870,AMD Phenom,Laptop,,3.0,3.0,2.3GHz,,384KB,1.5MB,,No,,AM2+,,35W,100°C,DDR3,Discrete Graphics Card Required
P860,AMD Phenom,Laptop,,3.0,3.0,2.0GHz,,384KB,1.5MB,,No,,AM2+,,35W,100°C,DDR3,Discrete Graphics Card Required
N660,AMD Phenom,Laptop,,2.0,2.0,3.0GHz,,256KB,2MB,,No,,S1,,35W,100°C,DDR3,Discrete Graphics Card Required
A4-7210,AMD A-Series Processors,Laptop,,4.0,4.0,1.8GHz,Up to 2.2GHz,,2MB,,No,28nm,FT3b,,65W,90°C,DDR3L,AMD Radeon R3 Graphics
P650,AMD Phenom,Laptop,,2.0,2.0,2.6GHz,,256KB,2MB,,No,,S1,,35W,100°C,DDR3,Discrete Graphics Card Required
A4-Micro-6400T,AMD A-Series Processors,"Laptop, Tablet",,4.0,4.0,1.6GHz,,,2MB,,No,28nm,FT3b,,4.5W,,DDR3L,AMD Radeon R3 Graphics
A4-6210,AMD A-Series Processors,Laptop,,4.0,4.0,1.8GHz,,,2MB,,No,28nm,FT3b,,15W,,DDR3L,AMD Radeon R3 Graphics
N640,AMD Phenom,Laptop,,2.0,2.0,2.8GHz,,256KB,2MB,,No,,S1,,35W,100°C,Not Listed,Discrete Graphics Card Required
B99,AMD Phenom,Desktop,,4.0,4.0,3.3GHz,,,2MB,,No,,AM3,,95W,,Not Listed,Discrete Graphics Card Required
B97,AMD Phenom,Desktop,,4.0,4.0,3.2GHz,,,2MB,,No,,AM3,,95W,,Not Listed,Discrete Graphics Card Required
B95,AMD Phenom,Desktop,,,,3.0GHz,,,2MB,,No,,AM3,,95W,,Not Listed,Discrete Graphics Card Required
A4-5100,AMD A-Series Processors,"Laptop, Tablet",,4.0,4.0,1.55GHz,,,2MB,,No,28nm,FT3,,15W,,Not Listed,AMD Radeon HD 8330
B77,AMD Phenom,Desktop,,3.0,3.0,3.2GHz,,,1.5MB,,No,,AM3,,95W,,Not Listed,Discrete Graphics Card Required
A4-5000,AMD A-Series Processors,"Laptop, Tablet",,4.0,4.0,1.5GHz,,,2MB,,No,28nm,FT3,,15W,,Not Listed,AMD Radeon HD 8330
B75,AMD Phenom,Desktop,,3.0,3.0,3.0GHz,,,1.5MB,,No,,AM3,,95W,,Not Listed,Discrete Graphics Card Required
B60,AMD Phenom,Desktop,,2.0,2.0,3.5GHz,,,1MB,,No,,AM3,,80W,,Not Listed,Discrete Graphics Card Required
B59,AMD Phenom,Desktop,,2.0,2.0,3.4GHz,,,1MB,,No,,AM3,,80W,,Not Listed,Discrete Graphics Card Required
B57,AMD Phenom,Desktop,,2.0,2.0,3.2GHz,,,1MB,,No,,AM3,,80W,,Not Listed,Discrete Graphics Card Required
641,AMD Athlon Processors,Boxed Processor,,4.0,4.0,2.8GHz,,512KB,4MB,,No,32nm,FM1 uPGA,Not Listed,100W,70.10°C,Not Listed,Discrete Graphics Card Required
638,AMD Athlon Processors,Boxed Processor,,4.0,4.0,2.7GHz,,512KB,4MB,,No,32nm,FM1 uPGA,Not Listed,65W,70.10°C,Not Listed,Discrete Graphics Card Required
631,AMD Athlon Processors,Boxed Processor,,4.0,4.0,2.6GHz,,,4MB,,No,32nm,FM1 uPGA,Not Listed,100W,70.10°C,Not Listed,Discrete Graphics Card Required
631,AMD Athlon Processors,Boxed Processor,,4.0,4.0,2.6GHz,,,4MB,,No,32nm,FM1 uPGA,Not Listed,65W,,Not Listed,Discrete Graphics Card Required
620e,AMD Athlon Processors,Boxed Processor,,4.0,4.0,2.7GHz,,,,,No,,AM3,Not Listed,45W,,DDR3,Discrete Graphics Card Required
460,AMD Athlon Processors,Boxed Processor,,3.0,3.0,3.4GHz,,384KB,1.5MB,,No,,AM3,Not Listed,95W,75°C,DDR3,Discrete Graphics Card Required
425e,AMD Athlon Processors,Boxed Processor,,3.0,3.0,2.7GHz,,384KB,1.5MB,,No,,AM3,Not Listed,45W,,DDR3,Discrete Graphics Card Required
255e,AMD Athlon Processors,Boxed Processor,,2.0,2.0,3.1GHz,,256KB,2MB,,No,,AM3,Not Listed,45W,72°C,DDR3,Discrete Graphics Card Required
A10-8700P,AMD A-Series Processors,All-in-One,,4.0,4.0,1.8GHz,Up to 3.2GHz,,2MB,,No,28nm,FP4,,,90°C,DDR3,AMD Radeon R6 Graphics
Athlon-X4-970,AMD Athlon Processors,Boxed Processor,7/27/2017,4.0,4.0,3.8GHz,Up to 4.0GHz,,2MB,,Yes,28nm,AM4,PCIe 3.0,65W,,DDR4,Discrete Graphics Card Required
A8-8600P,AMD A-Series Processors,All-in-One,,4.0,4.0,1.6GHz,Up to 3.0GHz,,2MB,,No,28nm,FP4,,,90°C,DDR3,AMD Radeon R6 Graphics
A8-6410,AMD A-Series Processors,All-in-One,,4.0,4.0,2.2GHz,Up to 2.5GHz,,2MB,,No,28nm,FT3b,,,90°C,DDR3L,AMD Radeon R5 Graphics
Athlon-X4-950,AMD Athlon Processors,Boxed Processor,7/27/2017,4.0,4.0,3.5GHz,Up to 3.8GHz,,2MB,,Yes,28nm,AM4,PCIe 3.0,,,DDR4,Discrete Graphics Card Required
Athlon-X4-940,AMD Athlon Processors,Boxed Processor,7/27/2017,4.0,4.0,3.2GHz,Up to 3.6GHz,,2MB,,Yes,28nm,AM4,PCIe 3.0,,,DDR4,Discrete Graphics Card Required
A6-8500P,AMD A-Series Processors,All-in-One,,2.0,2.0,1.6GHz,Up to 3.0GHz,,1MB,,No,28nm,FP4,,,90°C,Not Listed,AMD Radeon R5 Graphics
A6-7310,AMD A-Series Processors,All-in-One,,4.0,4.0,2.0GHz,Up to 2.4GHz,,2MB,,No,28nm,FP4,,,90°C,DDR3L,AMD Radeon R4 Graphics
880K,AMD Athlon Processors,Boxed Processor,,4.0,,4.0GHz,Up to 4.2GHz,256KB,4MB,,Yes,28nm,FM2+,,95W,72.40°C,DDR3,Discrete Graphics Card Required
A4-7210,AMD A-Series Processors,All-in-One,,4.0,4.0,1.8GHz,Up to 2.2GHz,,2MB,,No,28nm,FP4,,65W,90°C,DDR3L,AMD Radeon R3 Graphics
870K,AMD Athlon Processors,Boxed Processor,,4.0,4.0,3.9GHz,Up to 4.1GHz,128KB,4MB,,Yes,28nm,FM2+,PCIe 3.0,95W,72.40°C,DDR3,Discrete Graphics Card Required
A10-6800B,AMD A-Series Processors,Desktop,,4.0,4.0,4.1GHz,Up to 4.4GHz,192KB,4MB,,No,32nm SOI,FM2,,45W,74°C,DDR3,AMD Radeon HD 8670D
860K,AMD Athlon Processors,Desktop,,4.0,4.0,3.7GHz,Up to 4.0GHz,128KB,4MB,,Yes,28nm,FM2+,PCIe 3.0,95W,72.40°C,DDR3,Discrete Graphics Card Required
A10-6790B,AMD A-Series Processors,Desktop,,4.0,4.0,4.0GHz,Up to 4.3GHz,192KB,4MB,,No,32nm SOI,FM2,,45W,74°C,DDR3,AMD Radeon HD 8670D
860K,AMD Athlon Processors,Boxed Processor,,4.0,4.0,3.7GHz,Up to 4.0GHz,128KB,4MB,,Yes,28nm,FM2+,PCIe 3.0,95W,72.40°C,DDR3,Discrete Graphics Card Required
845,AMD Athlon Processors,Boxed Processor,,4.0,4.0,3.5GHz,Up to 3.8GHz,,2MB,,No,28nm,FM2+,PCIe 3.0,,71.30°C,DDR3,Discrete Graphics Card Required
760K,AMD Athlon Processors,Boxed Processor,,4.0,4.0,3.8GHz,Up to 4.1GHz,,4MB,,Yes,32nm,FM2,Not Listed,100W,,Not Listed,Discrete Graphics Card Required
A8-6500B,AMD A-Series Processors,Desktop,,4.0,4.0,3.5GHz,Up to 4.1GHz,192KB,4MB,,No,32nm SOI,FM2,,65W,71.30°C,DDR3,AMD Radeon HD 8570D
